STATION CODE,LOCATIONS,STATE,TEMPERATURE �C  : Min,TEMPERATURE �C  : Max,TEMPERATURE �C  : Mean,D.O. (mg/l)  : Min  : > 4 mg/l,D.O. (mg/l)  : Max  : > 4 mg/l,D.O. (mg/l)  : Mean  : > 4 mg/l,pH  : Min  : 6.5-8.5,pH  : Max  : 6.5-8.5,pH  : Mean  : 6.5-8.5,CONDUCTIVITY (�mhos/cm)  : Min,CONDUCTIVITY (�mhos/cm)  : Max,CONDUCTIVITY (�mhos/cm)  : Mean,B.O.D. (mg/l)  : Min  : < 3 mg/l,B.O.D. (mg/l)  : Max  : < 3 mg/l,B.O.D. (mg/l)  : Mean  : < 3 mg/l,NITRATE- N+ NITRITE-N (mg/l)  : Min,NITRATE- N+ NITRITE-N (mg/l)  : Max,NITRATE- N+ NITRITE-N (mg/l)  : Mean,FECAL COLIFORM (MPN/100ml)  : Min  : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml)  : Max  : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml)  : Mean  : < 2500 MPN/100ml,TOTAL COLIFORM (MPN/100ml)  : Min  : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml)  : Max  : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml)  : Mean  : < 5000 MPN/100ml
1391,"HUSSAIN SAGAR LAKE, BUDAMERU,A.P.",ANDHRA PRADESH,25,30,27.5,0,0,0,7.3,7.6,7.5,1192,1520,1356,49,60,54.5,0,0,0,900,1600,1250,1600,1600,1600
1788,"SAROONAGAR , RANGA REDDY DIST., A.P",ANDHRA PRADESH,24,30,27,0,3.9,2,7.8,8.1,8,1758,1760,1759,79,160,119.5,0,0,0,350,500,425,1600,1600,1600
1789,"HIMAYAT SAGAR LAKE , R.R.DIST., A.P",ANDHRA PRADESH,24,29,26.5,6.6,6.6,6.6,7.6,8.1,7.9,434,452,443,6,9,7.5,0,0,0,280,300,290,900,900,900
1790,"PULICATE LAKE ,��NELLORE DIST., A.P",ANDHRA PRADESH,22,24,22.8,4.4,5.2,4.8,7.4,8.9,8.1,38600,57600,39162,0.8,1.2,1.1,0.9,1,1,2,2,2,400,700,540
2340,"LAXMINARAYANA CHEVURU AT EDULABAD,RANGAREDDY",ANDHRA PRADESH,29,31,30,3,3.9,3.5,8,8.4,8.2,1366,1485,1426,17,30,23.5,0,0,0,350,350,350,900,900,900
2341,"MIRALAM LAKE NEAR ZOO PARK, RANGAREDDY",ANDHRA PRADESH,23,29,26,1.3,2,1.7,7.9,8,8,1422,1645,1534,25,46,35.5,0,0,0,1600,1600,1600,1600,1600,1600
2342,"NOOR MD. KUNTA, KATTEDAN, RANGAREDDY",ANDHRA PRADESH,26,28,27,1.2,4.6,2.9,8.2,8.7,8.5,1980,3250,2615,62,68,65,0,0,0,1600,1600,1600,1600,1600,1600
2344,"NALLA CHEVURU,Rangareddy",ANDHRA PRADESH,23,31,27,2.1,2.4,2.3,7.4,7.9,7.7,1661,1720,1691,46,70,58,0,0,0,1600,1600,1600,1600,1600,1600
2345,"SAI CHEVURU, NEAR TANNERY INDUSTRIES, DESAIPET, WARANGAL",ANDHRA PRADESH,30,31,30.5,0,0.9,0.5,7.6,7.6,7.6,11800,12630,12215,160,320,240,0,0,0,1600,1600,1600,1600,1600,1600
2346,"BHADRAKALI CHEVURU, BHADRAKALI TEMPLE, WARANGAL",ANDHRA PRADESH,30,30,30,5.3,6.6,6,8.1,8.2,8.2,274,412,343,9,12,10.5,0,0,0,90,500,295,350,900,625
2347,"ASANI KUNTA,Kajipally,Medak",ANDHRA PRADESH,25,30,28.6,NA,NA,NA,7,8.2,7.5,14460,18810,16716,14,170,103.8,29,96,76,20,280,76,180,3850,996
2357,DURGAM CHEVURU,ANDHRA PRADESH,25,30,27.5,1.6,3.2,2.4,7.2,7.8,7.5,1510,1607,1559,65,68,66.5,0,0,0,1600,1600,1600,1600,1600,1600
2359,PEDDA CHEVURU,ANDHRA PRADESH,30,30,30,0,1.5,0.8,7.8,7.9,7.9,1880,2280,2080,26,48,37,0,0,0,500,900,700,1600,1600,1600
2353,"KONDACHARLA-AAVA LAKE,PARAWADA PHARMA CITY,VISHAKHAPATNAM",ANDHRA PRADESH,26,28,27,6,6.4,6.2,7.1,8.3,7.5,481,710,589,1.2,1.2,1.2,2,2.59,2.36,3,4,4,1100,1100,1100
3068,"RAMAPPA LAKE,��WARANGAL, A.P.",ANDHRA PRADESH,30,31,30.5,5,5.2,5.1,8.1,8.1,8.1,257,320,289,8,12,10,0,0,0,170,170,170,350,350,350
3069,"SHAMEERPET LAKE, SHAMEERPET, RANGA REDDY, A.P.",ANDHRA PRADESH,27,30,28.5,3.1,5,4.1,7.4,8,7.7,517,615,566,8,18,13,0,0,0,170,170,170,500,500,500
3070,"FOX SAGAR, JEEDIMETLA,��RANGA REDDY, A.P.",ANDHRA PRADESH,27,30,28.5,3.5,5.3,4.4,7.8,8.4,8.1,1110,1825,1468,15,51,33,0,0,0,500,500,500,900,900,900
3071,"LANGARHOUSE LAKE, HYDERABAD",ANDHRA PRADESH,28,29,28.5,0,0,0,7.5,7.5,7.5,920,1060,990,30,50,40,0,0,0,500,1600,1050,1600,1600,1600
3072,"SAFILGUDA LAKE,��RANGA REDDY, A.P.",ANDHRA PRADESH,29,30,29.5,0.9,4,2.5,7.9,8.2,8.1,1892,1940,1916,50,76,63,0,0,0,500,900,700,900,1600,1250
1447,"DHARMASAGAR TANK NEAR WARANGAL, A.P.",ANDHRA PRADESH,NA,NA,NA,NA,NA,NA,NA,NA,NA,320,321,321,NA,NA,NA,0,0,0,170,170,170,500,500,500
1464,"BIBINAGAR TANK, A.P.",ANDHRA PRADESH,NA,NA,NA,NA,NA,NA,NA,NA,NA,661,1545,1114,NA,NA,NA,1,1,1,10,45,28,200,260,227
1780,"GANDIGUDEM ,MEDAK DISTRICT, A.P",ANDHRA PRADESH,NA,NA,NA,NA,NA,NA,NA,NA,NA,2753,4170,3447,NA,NA,NA,5,5,5,10,25,19,200,300,239
1783,"KISTAREDDYPET TANK , MEDAK DIST., A.P",ANDHRA PRADESH,NA,NA,NA,NA,NA,NA,NA,NA,NA,7330,17280,12046,NA,NA,NA,11,11,11,10,220,66,210,2360,671
2343,"PREMAJIPET TANK, Kattedan, Rangareddy",ANDHRA PRADESH,26,29,27.5,0,0,0,3,6.1,4.6,4190,9100,6645,73,210,141.5,0,0,0,1600,1600,1600,1600,1600,1600
2348,"KAJIPALLY TANK,Kajipally,Medak",ANDHRA PRADESH,29,32,30.3,NA,NA,NA,7,8.3,7.8,11480,14830,13273,11.7,28,21.9,26,44,33.4,16,50,29,250,310,280
2358,MALLAPUR TANK,ANDHRA PRADESH,29,30,29.5,1.9,4.1,3,7.3,7.9,7.6,1840,1964,1902,18,63,40.5,0,0,0,350,500,425,900,900,900
3084,"WADDEPALLY TANK, KAZIPET,��WARANGAL, A.P.",ANDHRA PRADESH,31,32,31.5,6,6.1,6.1,7.9,8.3,8.1,465,474,470,10,13,11.5,0,0,0,300,500,400,500,900,700
3085,"CHINNA WADDEPALLY TANK,��WARANGAL, A.P.",ANDHRA PRADESH,31,32,31.5,2.1,2.2,2.2,7.9,8.4,8.2,1660,1788,1724,20,39,29.5,0,0,0,240,300,270,500,900,700
3086,"SAKI TANK, PATANCHERU,��RANGA REDDY, A.P.",ANDHRA PRADESH,26,30,28.6,5.2,6.5,5.8,8.2,9.3,8.7,1443,2239,1800,4,9,5.2,3,7,4,35,40,37,250,348,289
3073,"HASMATHPET LAKE, HASMATHPET,��RANGA REDDY, A.P.",ANDHRA PRADESH,26,29,27.5,1.1,1.1,1.1,7.8,7.8,7.8,1575,1770,1673,12,30,21,0,0,0,350,500,425,900,900,900
3074,"BANJARA LAKE, BANJARA HILLS,��RANGA REDDY, A.P.",ANDHRA PRADESH,24,31,27.5,1,2.1,1.6,7.5,8.3,7.9,1069,1141,1105,58,70,64,0,0,0,1600,1600,1600,1600,1600,1600
3075,"RANGADHAMUNI CHERUVU,��RANGA REDDY, A.P.",ANDHRA PRADESH,29,30,29.5,1.1,1.3,1.2,7.1,8.5,7.8,1438,1529,1484,10,28,19,0,0,0,500,500,500,900,1600,1250
3076,"AMBER CHERUVU, KUKATPALLY,��RANGA REDDY, A.P.",ANDHRA PRADESH,28,29,28.5,0,0,0,7.2,8.2,7.7,1580,1687,1634,26,32,29,0,0,0,170,300,235,500,500,500
3077,"KAPRA CHERUVU, KAPRA,��RANGA REDDY, A.P.",ANDHRA PRADESH,26,30,28,2.1,3.3,2.7,7.5,7.9,7.7,1510,1592,1551,28,39,33.5,0,0,0,240,240,240,500,500,500
3078,"PRAGATHINAGAR CHERUVU, KUKATPALLY,��RANGA REDDY, A.P.",ANDHRA PRADESH,28,30,29,0.7,1,0.9,7.3,8.4,7.9,1380,1635,1508,12,37,24.5,0,0,0,300,350,325,500,900,700
1388,"ULSOOR LAKE TRAINING CENTRE OF FISH BREEDING,KARNATAKA",KARNATAKA,25,32,29.2,5.7,8.6,6.5,7,10.2,8.4,277,1235,504,4,43,18.9,0.62,13,7.6,4,4,4,920,1600,1147
1446,"HEBALLA VALLEY LAKE AT D/S ROAD BRIDGE NR. MANDYA, KARNATAKA",KARNATAKA,24,27,24.9,3.2,5.6,4.1,7.1,7.9,7.6,396,1310,745,3,14,7.1,0.52,2.26,2,2100,20000,10840,6300,70000,36830
1383,"ORUVATHILKOTTA LAKE, KERALA",KERALA,24.5,30,26.6,3.8,7.3,6,7,7.6,7.4,120,1920,624,0.5,8,3.6,1,0,1,120,630,258,700,1800,1242
1385,"SASTHAMCOTTA LAKE, KERALA",KERALA,23.6,25.5,24.6,5,7.5,6.3,6.8,7.5,7.1,65,125,95,1,2.8,1.7,1.6,5.66,3,70,500,183,110,1200,461
1441,"ASHTHAMUDI LAKE AT QUILON, KERALA",KERALA,23,24.5,23.5,4.2,6.3,5,6.8,7.9,7.4,22500,58500,47679,1.8,2.8,2.4,0.84,6.68,4,60,600,298,180,1200,698
1574,"PARAVUR, KERALA",KERALA,23.5,25.3,24.3,2.9,7.4,6.4,6.9,8,7.4,950,48000,18428,1.3,2.8,2.3,1.6,4.96,4,31,1400,421,200,2400,852
1575,"KOCHI (OIL TANKER JETTY), KERALA",KERALA,26,31,28.6,2.8,6.6,4.7,6.6,7.9,7.5,341,50000,25462,0.2,3.6,1.8,0.32,2.26,1,20,3100,517,80,3500,1640
1576,"THEKKADY, KERALA",KERALA,24,28,25.7,6.7,7.6,7.2,6.9,7.8,7.4,31,50,41,0.2,1.3,0.5,0.28,1,0,110,800,347,200,1700,678
1577,"KODUNGALLOOR, KERALA",KERALA,27,28.7,28,4.2,7.3,6,6.6,7.9,7.2,86,44340,19683,0.4,5.4,2,0.41,1.5,1,2,900,437,9,24000,3421
1578,"KAYAMKULAM, KERALA",KERALA,28,29,28.7,3.8,7.6,5.8,6.4,7.8,7.1,980,52000,30280,1.2,6.3,3.4,0.036,10,5.32,240,1300,758,400,1700,1075
1579,"ALAPPUZHA, KERALA",KERALA,28,29,28.4,4.9,7.9,6.3,6.4,7.6,6.9,182,19000,3683,1,6.6,3.3,0.01,2.03,1.56,350,1100,706,600,1400,1017
1580,"POOKOTE, KERALA",KERALA,23.9,29.1,25.6,3.9,8,6.6,6.5,7.8,7.2,20,26,24,0.2,0.7,0.4,0.04,1.09,0.56,4,60,32,9,70,38
2312,LAKE VEMBANADU AT PATHIRAMANAL (ALAPPUZHA),KERALA,28,29,28.6,6,7.5,7.2,6.6,7.6,7,118,27000,5734,0.4,4.4,1.4,0,0,0,500,1100,848,900,1600,1167
2318,PAZHASSI RESERVOIR (KANNUR),KERALA,25,33,28.2,6.9,8.7,7.8,6.3,7.6,6.9,35,74,55,0.4,2.1,1.2,0.11,1,1,40,700,145,110,900,309
2325,POND AT (PADMANABHA) SREE PADMANABHA SWAMY TEMPLE (TVPM),KERALA,24,30.5,26.7,5.4,8,6.8,7.2,7.8,7.5,46,140,92,1.2,2.8,1.9,0.36,1,0.78,2,500,110,4,900,230
2328,RSVR AT MALAMPUZHA,KERALA,25,34,29.1,6.4,8,7.2,7.7,8.5,8,19,80,35,0.2,2.1,0.9,0.22,1,0.86,2,900,273,60,3500,1018
2329,RSVR AT BHOOTHATHANKETU,KERALA,24,29.5,27.8,5,8,7.3,6.3,7.3,6.9,22,38,27,0.4,2.4,1.1,0,0,0,2,240,59,90,2200,562
3462,MANANCHIRA POND AT KOZHEKODE,KERALA,24,30,27,2.4,8.2,7.2,6.7,8.7,7.5,74,130,94,0.5,2,1.1,0.4,1,0.85,20,1400,377,80,1700,602
3470,"VELLAYANI LAKE AT VANDITHADOM, THIRUVANANTHAPURAM",KERALA,24.5,29.5,26.6,1.3,7,4.4,6.4,73.3,13,98,240,161,1.4,4,2.5,0,0,0,260,600,437,700,1200,974
1396,"OSTERI LAKE, PONDICHERRY",PONDICHERRY,24,24,24,8.1,8.1,8.1,8.7,8.7,8.7,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
1686,"BAHOUR LAKE, PONDICHERRY",PONDICHERRY,24,24,24,6,6,6,7.8,7.8,7.8,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
1420,"KODAI KANAL LAKE, TAMILNADU",TAMILNADU,19,21,20,5.8,7.2,6.5,6.7,7.6,7.2,85,123,101,2.3,5.3,3.8,0,0,0,6,9,7,9,14,11
1421,"UDHAGAMADALEM LAKE (OOTY), TAMILNADU",TAMILNADU,13,18,16.7,0.5,8.8,4.9,7.1,8.7,7.7,370,617,461,3.3,34,13.5,0.34,1,1,230,110000,16378,330,220000,34568
1452,"YERCAUD LAKE, SALEM, TAMILNADU",TAMILNADU,20,29,24.3,0.7,10,7.6,7.4,8.8,8.1,269,363,317,0.5,5,1.6,0.16,1,1,70,35000,3833,170,92000,9261
3007,"VEERANAM LAKE AT CUDDALORE, TAMILNADU",TAMILNADU,26,35,27.2,4.7,25.5,9.2,7.9,9.2,8.4,224,1463,641,0.1,13.5,2.4,0.14,1,1,84,5400,804,150,9200,1308
3008,"POONDI LAKE AT THIRUVALLUR, TAMILNADU",TAMILNADU,NA,NA,NA,5.5,7.2,6.5,7.6,8.9,7.9,6,1374,691,1,2,1.9,0.01,1.56,1,330,2200,1003,790,9200,2826
3009,"REDD HILLS AT THIRUVALLUR, TAMILNADU",TAMIL NADU,30,31,30.3,6.3,8.5,7,6.7,8.6,7.8,476,948,621,1,4,2,0,2.23,1.66,230,7900,1730,790,11000,3824
3010,"PORUR LAKE AT THIRUVALLUR, TAMILNADU",TAMILNADU,28,34,30.3,6.2,7.9,6.9,7.1,8.9,8.1,545,885,633,2,6,2.4,0,1,0.5,700,3500,1613,1700,9200,4150
3011,"PULICATE LAKE AT THIRUVALLUR, TAMILNADU",TAMILNADU,7.6,33,25.7,3.2,7.4,6.1,6.9,8.3,7.8,4900,52750,41625,1,2,1.8,0,2,1,170,700,306,330,1300,651